UFNUMB,CommonName,Family,Genus,Species,Subspecies,Preparations,Country,State,County,Latitude1,Longitude1,image
46187,,PYCNONOTIDAE,CERASOPHILA,THOMPSONI,,C SKEL - 1; TISSUE - 2,CAPTIVE BIRD,,,,,
46713,,PYCNONOTIDAE,PYCNONOTUS,SQUAMATUS,,C SKEL - 1; TISSUE - 2,CAPTIVE BIRD,,,,,
46759,,PYCNONOTIDAE,PYCNONOTUS,SQUAMATUS,,C SKEL - 1; TISSUE - 2,CAPTIVE BIRD,,,,,
46968,Collared Finchbill,PYCNONOTIDAE,SPIZIXOS,SEMITORQUES,,C SKEL - 1,CAPTIVE BIRD,,,,,
46971,Straw-headed Bulbul,PYCNONOTIDAE,PYCNONOTUS,ZEYLANICUS,,C SKEL - 1,CAPTIVE BIRD,,,,,
47144,,PYCNONOTIDAE,PYCNONOTUS,SQUAMATUS,,C SKEL - 1,CAPTIVE BIRD,,,,,
47145,,PYCNONOTIDAE,PYCNONOTUS,MELANICTERUS,,C SKEL - 1; TISSUE - 2,CAPTIVE BIRD,,,,,
47171,,PYCNONOTIDAE,PYCNONOTUS,MELANICTERUS,,C SKEL - 1; TISSUE - 2,CAPTIVE BIRD,,,,,
47173,,PYCNONOTIDAE,PYCNONOTUS,MELANICTERUS,,C SKEL - 1; TISSUE - 2,CAPTIVE BIRD,,,,,
47174,,PYCNONOTIDAE,PYCNONOTUS,MELANICTERUS,,C SKEL - 1; TISSUE - 2,CAPTIVE BIRD,,,,,
47175,,PYCNONOTIDAE,PYCNONOTUS,MELANICTERUS,,C SKEL - 1; TISSUE - 2,CAPTIVE BIRD,,,,,
57974,Red-whiskered Bulbul,PYCNONOTIDAE,PYCNONOTUS,JOCOSUS,,STUDY,U.S.,FL,Dade,,,
