UFNUMB,CommonName,Family,scientific_name,Genus,Species,Subspecies,Preparations,Country,State,County,Latitude1,Longitude1,image
34912,,PYCNONOTIDAE,Hypsipetes madagascariensis,HYPSIPETES,MADAGASCARIENSIS,MADAGASCARIENSIS,STUDY - 1,MADAGASCAR,,,NA,NA,NA
35018,,PYCNONOTIDAE,Andropadus milanjensis,ANDROPADUS,MILANJENSIS,STRIIFACIES,STUDY - 1,KENYA,WESTERN PROVINCE,,NA,NA,NA
35019,,PYCNONOTIDAE,Chlorocichla flaviventris,CHLOROCICHLA,FLAVIVENTRIS,CENTRALIS,STUDY - 1,KENYA,,,NA,NA,NA
35020,,PYCNONOTIDAE,Ixos philippinus,IXOS,PHILIPPINUS,GUIMARASENSIS,STUDY - 1,PHILIPPINES,NEGROS ORIENTAL PROVINCE,,NA,NA,NA
35021,,PYCNONOTIDAE,Ixos philippinus,IXOS,PHILIPPINUS,GUIMARASENSIS,STUDY - 1,PHILIPPINES,NEGROS ORIENTAL PROVINCE,,NA,NA,NA
35022,,PYCNONOTIDAE,Bleda syndactylus,BLEDA,SYNDACTYLUS,WOOSNAMI,STUDY - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,NA
35023,,PYCNONOTIDAE,Chlorocichla flaviventris,CHLOROCICHLA,FLAVIVENTRIS,CENTRALIS,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,NA,NA,NA
35024,,PYCNONOTIDAE,Chlorocichla flaviventris,CHLOROCICHLA,FLAVIVENTRIS,CENTRALIS,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,NA,NA,NA
35025,,PYCNONOTIDAE,Chlorocichla flaviventris,CHLOROCICHLA,FLAVIVENTRIS,CENTRALIS,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,NA,NA,NA
35026,,PYCNONOTIDAE,Criniger pallidus,CRINIGER,PALLIDUS,ANNAMENSIS,STUDY - 1,VIETNAM,,,NA,NA,NA
35027,,PYCNONOTIDAE,Phyllastrephus flavostriatus,PHYLLASTREPHUS,FLAVOSTRIATUS,TENUIROSTRIS,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,NA,NA,NA
35028,,PYCNONOTIDAE,Phyllastrephus flavostriatus,PHYLLASTREPHUS,FLAVOSTRIATUS,TENUIROSTRIS,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,NA,NA,NA
35029,,PYCNONOTIDAE,Phyllastrephus terrestris,PHYLLASTREPHUS,TERRESTRIS,SUAHELICUS,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,NA,NA,NA
35030,,PYCNONOTIDAE,Phyllastrephus cerviniventris,PHYLLASTREPHUS,CERVINIVENTRIS,,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,NA,NA,NA
35031,,PYCNONOTIDAE,Phyllastrephus terrestris,PHYLLASTREPHUS,TERRESTRIS,SUAHELICUS,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,NA,NA,NA
35032,,PYCNONOTIDAE,Phyllastrephus terrestris,PHYLLASTREPHUS,TERRESTRIS,SUAHELICUS,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,NA,NA,NA
35033,,PYCNONOTIDAE,Phyllastrephus debilis,PHYLLASTREPHUS,DEBILIS,RABAI,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,NA,NA,NA
35034,,PYCNONOTIDAE,Phyllastrephus fischeri,PHYLLASTREPHUS,FISCHERI,,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,NA,NA,NA
35035,,PYCNONOTIDAE,Phyllastrephus fischeri,PHYLLASTREPHUS,FISCHERI,,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,NA,NA,NA
35036,,PYCNONOTIDAE,Andropadus curvirostris,ANDROPADUS,CURVIROSTRIS,,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,NA,NA,NA
35037,,PYCNONOTIDAE,Andropadus curvirostris,ANDROPADUS,CURVIROSTRIS,,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,NA,NA,NA
35038,,PYCNONOTIDAE,Andropadus virens,ANDROPADUS,VIRENS,,STUDY - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,NA
35039,,PYCNONOTIDAE,Andropadus masukuensis,ANDROPADUS,MASUKUENSIS,KAKAMEGAE,STUDY - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,NA
35040,,PYCNONOTIDAE,Andropadus latirostris,ANDROPADUS,LATIROSTRIS,LATIROSTRIS,STUDY - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,NA
35042,,PYCNONOTIDAE,Andropadus milanjensis,ANDROPADUS,MILANJENSIS,STRIIFACIES,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,NA,NA,NA
36787,,PYCNONOTIDAE,Ixos philippinus,IXOS,PHILIPPINUS,GUIMARASENSIS,STUDY - 1,PHILIPPINES,NEGROS ORIENTAL PROVINCE,,NA,NA,NA
37780,,PYCNONOTIDAE,Chlorocichla flaviventris,CHLOROCICHLA,FLAVIVENTRIS,CENTRALIS,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,NA,NA,NA
37781,,PYCNONOTIDAE,Phyllastrephus fischeri,PHYLLASTREPHUS,FISCHERI,,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,NA,NA,NA
37782,,PYCNONOTIDAE,Andropadus curvirostris,ANDROPADUS,CURVIROSTRIS,,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,NA,NA,NA
37855,,PYCNONOTIDAE,Pycnonotus barbatus,PYCNONOTUS,BARBATUS,TRICOLOR,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,NA,NA,NA
57974,Red-whiskered Bulbul,PYCNONOTIDAE,Pycnonotus jocosus,PYCNONOTUS,JOCOSUS,,STUDY,U.S.,FL,Dade,NA,NA,NA
